Sample name	Superpopulation code
HG00864	EAS
HGDP00118	
HG02723	AFR
NA19028	AFR
HG00565	EAS
HG00706	EAS
HGDP00120	
HG02728	SAS
NA19030	AFR
HG00577	EAS
HG00718	EAS
HGDP00062	
HG02735	SAS
NA19035	AFR
HG00611	EAS
HG01088	AMR
HGDP00074	
HG02658	SAS
NA19042	AFR
HG00623	EAS
HG01090	AMR
HGDP00137	
HG02660	SAS
NA19054	EAS
HG00438	EAS
HG01095	AMR
HGDP00106	
HG02759	AFR
NA18981	EAS
HG00731	AMR
HG01110	AMR
HGDP00163	
HG02761	AFR
NA18986	EAS
HG00736	AMR
HG01122	AMR
HGDP00175	
HG02696	SAS
NA18962	EAS
HG00635	EAS
HG01139	AMR
HGDP00550	
HG02634	AFR
NA18967	EAS
HG00642	AMR
HG01141	AMR
HGDP00555	
HG02677	AFR
NA18993	EAS
HG00705	EAS
HG01069	AMR
HGDP00473	
HG03113	AFR
NA18998	EAS
HG00717	EAS
HG01071	AMR
HGDP00478	
HG03118	AFR
NA18974	EAS
HG00729	EAS
HG01103	AMR
HGDP00512	
HG03120	AFR
NA18979	EAS
HG00628	EAS
HG01108	AMR
HGDP00543	
HG03168	AFR
NA18955	EAS
HG00630	EAS
HG01134	AMR
HGDP00524	
HG03170	AFR
NA19256	AFR
HG00692	EAS
HG01083	AMR
HGDP00529	
HG03175	AFR
NA19307	AFR
HG00700	EAS
HG01064	AMR
HGDP00531	
HG03132	AFR
NA19198	AFR
HG00743	AMR
HG01172	AMR
HGDP00536	
HG03137	AFR
NA19201	AFR
HG00844	EAS
HG01254	AMR
HGDP00579	
HG03086	AFR
NA19213	AFR
HG00851	EAS
HG01259	AMR
HGDP00581	
HG03098	AFR
NA19225	AFR
HG00673	EAS
HG01261	AMR
HGDP00562	
HG03194	AFR
NA19352	AFR
HG00685	EAS
HG01343	AMR
HGDP00567	
HG03199	AFR
NA19371	AFR
HG00654	EAS
HG01348	AMR
HGDP00574	
HG03163	AFR
NA19206	AFR
HG00983	EAS
HG01350	AMR
HGDP00466	
HG03202	AFR
NA19174	AFR
HG01068	AMR
HG01273	AMR
HGDP00517	
HG03125	AFR
NA19186	AFR
HG01070	AMR
HG01278	AMR
HGDP00721	
HG03101	AFR
NA19314	AFR
HG01075	AMR
HG01280	AMR
HGDP00726	
HG03644	SAS
NA19319	AFR
HG01114	AMR
HG01177	AMR
HGDP00733	
HG03649	SAS
NA19237	AFR
HG01119	AMR
HG01184	AMR
HGDP00738	
HG03651	SAS
NA19249	AFR
HG01121	AMR
HG01189	AMR
HGDP00740	
HG03656	SAS
NA19321	AFR
HG01049	AMR
HG01191	AMR
HGDP00745	
HG03663	SAS
NA19338	AFR
HG01051	AMR
HG01204	AMR
HGDP00752	
HG03668	SAS
NA19681	AMR
HG01102	AMR
HG01242	AMR
HGDP00771	
HG03618	SAS
NA19686	AMR
HG01107	AMR
HG01247	AMR
HGDP00776	
HG03620	SAS
NA19701	AFR
HG01126	AMR
HG01305	AMR
HGDP00714	
HG03625	SAS
NA19718	AMR
HG01133	AMR
HG01312	AMR
HGDP00719	
HG03593	SAS
NA19720	AMR
HG01138	AMR
HG01355	AMR
HGDP00764	
HG03598	SAS
NA19725	AMR
HG01140	AMR
HG01324	AMR
HGDP00769	
HG03699	SAS
NA19749	AMR
HG01082	AMR
HG01362	AMR
HGDP00699	
HG03702	SAS
NA19751	AMR
HG01087	AMR
HG01367	AMR
HGDP00694	
HG03574	AFR
NA19756	AMR
HG01094	AMR
HG01374	AMR
HGDP00757	
HG03579	AFR
NA19782	AMR
HG01099	AMR
HG01413	AMR
HGDP00909	
HG03687	SAS
NA19787	AMR
HG01056	AMR
HG01432	AMR
HGDP00911	
HG03694	SAS
NA19763	AMR
HG01063	AMR
HG01437	AMR
HGDP00916	
HG03606	SAS
NA19770	AMR
HG01176	AMR
HG01444	AMR
HGDP00992	
HG03682	SAS
NA19713	AFR
HG01183	AMR
HG01463	AMR
HGDP01010	
HG03909	SAS
NA19732	AMR
HG01188	AMR
HG01468	AMR
HGDP00966	
HG03911	SAS
NA19737	AMR
HG01164	AMR
HG01393	AMR
HGDP00973	
HG03916	SAS
NA19775	AMR
HG01169	AMR
HG01398	AMR
HGDP00959	
HG03884	SAS
NA20359	AFR
HG01171	AMR
HG01456	AMR
HGDP00961	
HG03896	SAS
NA20361	AFR
HG01253	AMR
HG01494	AMR
HGDP00935	
HG03815	SAS
NA20506	EUR
HG01258	AMR
HG01482	AMR
HGDP00942	
HG03822	SAS
NA20513	EUR
HG01260	AMR
HG01487	AMR
HGDP00947	
HG03928	SAS
NA20544	EUR
HG01323	AMR
HG01379	AMR
HGDP00954	
HG03858	SAS
NA20582	EUR
HG01342	AMR
HG01499	AMR
HGDP01027	
HG03846	SAS
NA20525	EUR
HG01284	AMR
HG01502	EUR
HGDP00985	
HG03872	SAS
NA20532	EUR
HG01311	AMR
HG01507	EUR
HGDP00930	
HG03904	SAS
NA20518	EUR
HG01272	AMR
HG01519	EUR
HGDP01229	
HG03834	SAS
NA20520	EUR
HG01277	AMR
HG01521	EUR
HGDP01231	
HG04301	EUR
NA20412	AFR
HG01190	AMR
HG01526	EUR
HGDP01236	
NA06985	EUR
NA20587	EUR
HG01195	AMR
HG01608	EUR
HGDP01293	
HG04192	SAS
NA20753	EUR
HG01241	AMR
HG01610	EUR
HGDP01298	
HG04197	SAS
NA20537	EUR
HG01347	AMR
HG01615	EUR
HGDP01217	
HG04200	SAS
NA20347	AFR
HG01405	AMR
HG01583	SAS
HGDP01224	
HG04217	SAS
NA20859	SAS
HG01412	AMR
HG01590	SAS
HGDP01262	
HG04229	SAS
NA20861	SAS
HG01431	AMR
HG01595	EAS
HGDP01267	
HG04173	SAS
NA20900	SAS
HG01479	AMR
HG01571	AMR
HGDP01313	
HG04180	SAS
NA20905	SAS
HG01481	AMR
HG01603	EUR
HGDP01318	
HG04159	SAS
NA20892	SAS
HG01486	AMR
HG01538	EUR
HGDP01243	
HG04161	SAS
NA20897	SAS
HG01354	AMR
HG01552	AMR
HGDP01248	
HG04185	SAS
NA20866	SAS
HG01359	AMR
HG01622	EUR
HGDP01279	
HG04142	SAS
NA20878	SAS
HG01378	AMR
HG01627	EUR
HGDP01255	
HG04147	SAS
NA20885	SAS
HG01385	AMR
HG01514	EUR
HGDP01301	
HG04128	SAS
NA21092	SAS
HG01361	AMR
HG01709	EUR
HGDP01274	
HG04135	SAS
NA20873	SAS
HG01366	AMR
HG01711	EUR
HGDP01306	
HG04212	SAS
SC_GMFUL5309764	AFR
HG01462	AMR
HG01747	EUR
HGDP01402	
NA12336	EUR
SC_GMFUL5306392	AFR
HG01474	AMR
HG01773	EUR
Est375	
NA12343	EUR
SC_GMFUL5306400	AFR
HG01392	AMR
HG01778	EUR
NorthOssetia5	
NA12348	EUR
SC_GMFUL5309719	AFR
HG01397	AMR
HG01780	EUR
iran11	
NA12386	EUR
SC_GMFUL5306412	AFR
HG01455	AMR
HG01684	EUR
HGDP00461	
NA12766	EUR
